Cluster,Size,Top Terms,Top Phrases,Avg_post_sentiment,Avg_comment_sentiment,Avg_hard_score,Avg_soft_score,Dominant desirability type
0,979,"data, job, analytics, like, project, work, would, tool, engineering, get","data engineering, data analyst, data engineer, data analytics, data science, year experience, data analysis, real world, use case, open source",0.46415280898876404,0.6667800227014756,0.0022982635342185904,1.053228998968446,balanced
1,136,"data, analyst, analytics, role, project, analysis, sql, data analysis, engineering, business","data analyst, data engineering, data analysis, data analytics, data engineer, long term, data science, entry level, sql python, analyst role",0.7296514705882353,0.7755368421052632,0.0,8.517775387468566,soft-dominant
2,20,"pipeline, data pipeline, data, large scale, airflow, tool, source, engineering, work, engineer","data pipeline, data collection, open source, data engineer, output col, data engineering, real estate, market intelligence, end end, raw data",0.74488,0.5837722222222221,1.7538681558935152,0.4479398673070138,balanced
