variant,k,silhouette,max_cluster_pct,coherence_proxy,inertia
tfidf_plus_lex,4,0.006026896102940984,0.37092511013215856,0.03257190523248754,1086.9879363237058
tfidf_plus_lex,5,0.005764713393648573,0.35770925110132157,0.038354550102750386,1082.6842450975528
tfidf_plus_lex,6,0.006307767618663921,0.3744493392070485,0.03861801259555247,1078.79665208042
tfidf_plus_lex,7,0.00745296356026453,0.34625550660792953,0.044899191568285764,1075.7779692433232
tfidf_plus_lex,8,0.007414052662790791,0.2290748898678414,0.04348773199993816,1072.7549055102734
tfidf_plus_lex,9,0.007573210118548601,0.20969162995594715,0.04849710422007733,1069.2548438854035
tfidf_plus_lex,10,-0.007505835788127507,0.20704845814977973,0.046116627302474504,1066.8959228148044
tfidf_plus_lex,11,0.008501161904380241,0.2775330396475771,0.05261169767312034,1062.5846569651346
tfidf_plus_lex,12,0.006917290529792113,0.1920704845814978,0.053219174612030073,1061.4592577472813
lsa_plus_lex,4,0.017038712053920504,0.5524229074889868,0.03499207579293395,484.9099614434387
lsa_plus_lex,5,0.012852344190869808,0.4590308370044053,0.040665788467283484,480.1724795825892
lsa_plus_lex,6,0.02035209171131514,0.5022026431718062,0.05089130218969231,476.2860250269835
lsa_plus_lex,7,0.016750927948505297,0.4017621145374449,0.04767194857473296,473.3680568808463
lsa_plus_lex,8,0.012715448263415896,0.34625550660792953,0.058106748616895354,470.392091781095
lsa_plus_lex,9,0.01575805087097547,0.360352422907489,0.05083578926584429,466.5508256700929
lsa_plus_lex,10,0.022029862219105183,0.4211453744493392,0.056380336046336355,463.5032931386369
lsa_plus_lex,11,0.021072626453124722,0.307488986784141,0.07655957191100825,460.34213444379293
lsa_plus_lex,12,0.026958776241449985,0.3964757709251101,0.07537111517898556,457.0443299193452
